title,time,description,detail_url,image_url
Entertainer,"Northern dynasties, 6th century",,https://www.artic.edu/artworks/147008,"https://www.artic.edu/iiif/2/2c384bd1-b4bc-8b02-b299-1ff3f1ef7174/full/843,/0/default.jpg"
Armored Guardian King (Tianwang) Trampling Demon,"Tang dynasty (618–907 A.D.), first half of 8th century",,https://www.artic.edu/artworks/35367,"https://www.artic.edu/iiif/2/95f98220-c9ef-3b7d-0299-e93f03c54c61/full/843,/0/default.jpg"
Flattened Teapot (Bianhu),"Qing dynasty (1644–1911), mid–17th century",,https://www.artic.edu/artworks/12763,"https://www.artic.edu/iiif/2/44b0721e-affc-af97-7dea-bff2f2ff3d7a/full/843,/0/default.jpg"
Goblet (jia),"Late Shang dynasty, 13th century–1046 B.C.",,https://www.artic.edu/artworks/31955,"https://www.artic.edu/iiif/2/ad6090db-62b2-6fd3-6618-267c6db7b7c8/full/843,/0/default.jpg"
Stem Cup with Florets,Tang dynasty (618–906),,https://www.artic.edu/artworks/22200,"https://www.artic.edu/iiif/2/e90b039d-760b-15bc-4d70-873ac58d551b/full/843,/0/default.jpg"
"Giant Interactive Group, Shanghai, China, Massing Study Model (I)",2005,,https://www.artic.edu/artworks/233322,"https://www.artic.edu/iiif/2/1ef422d2-b62a-660e-c0eb-099d9f87a7a9/full/843,/0/default.jpg"
"Giant Interactive Group, Shanghai, China, Massing Study Model with Sketches (VII)",2005,,https://www.artic.edu/artworks/233328,"https://www.artic.edu/iiif/2/f6856107-0cf3-fb1f-5a0e-0a6e188546d1/full/843,/0/default.jpg"
Cloud-Shaped Pillow with Peony Scroll,"Northern Song dynasty (960–1127), late 10th/early 11th century",,https://www.artic.edu/artworks/12284,"https://www.artic.edu/iiif/2/eba33400-22e2-1511-4d12-365adbddd5a3/full/843,/0/default.jpg"
Attendant Holding a Teapot,Ming dynasty (1368–1644),,https://www.artic.edu/artworks/12198,"https://www.artic.edu/iiif/2/844717c7-d7b4-2a75-8d0b-8d82b358ebdb/full/843,/0/default.jpg"
"San Francisco, China Town, Chinese New Year",1955,,https://www.artic.edu/artworks/150533,"https://www.artic.edu/iiif/2/9e7a34f6-4f27-aa70-f04f-61b3f6510629/full/843,/0/default.jpg"
Deity from a Set of Five Pancharaksha Goddesses,"Qing dynasty (1644–1911), 19th century",,https://www.artic.edu/artworks/15742,"https://www.artic.edu/iiif/2/6ff57311-952a-e307-d5e3-5900c535912c/full/843,/0/default.jpg"
Cover,"c. 1765, Qing dynasty (1644–1911), Qianlong reign mark and period (1736–95)",,https://www.artic.edu/artworks/2532,"https://www.artic.edu/iiif/2/6b2bf150-222d-43b6-7918-bdbfc064c5fe/full/843,/0/default.jpg"
Head of a Luohan,"Northern Song, Liao, or Jin dynasty, c. 11th century",,https://www.artic.edu/artworks/88724,"https://www.artic.edu/iiif/2/214ac436-6535-8de0-b77d-c2e5406df956/full/843,/0/default.jpg"
Tea Bowl,"Song dynasty (960–1279), 12th century",,https://www.artic.edu/artworks/20392,"https://www.artic.edu/iiif/2/61b66906-0e3d-cdbb-2012-1ea21731608c/full/843,/0/default.jpg"
Maitreya Buddha,"Tang dynasty (A.D. 618–906), dated 705",,https://www.artic.edu/artworks/11690,"https://www.artic.edu/iiif/2/18fd2c70-eff4-33ca-b1d8-576757e6af4e/full/843,/0/default.jpg"
Woman's Shoes,"Qing dynasty (1644–1911), 19th century",,https://www.artic.edu/artworks/15910,"https://www.artic.edu/iiif/2/0655410d-43d5-9b3f-4af4-bff8276ce10d/full/843,/0/default.jpg"
